id,x,y,energy,range,alive
10000,120,180,5,150,TRUE
10001,260,140,5,150,TRUE
10002,410,210,5,150,TRUE
10003,580,160,5,150,TRUE
10004,720,240,5,150,TRUE
10005,860,190,5,150,TRUE
10006,180,360,5,150,TRUE
10007,320,330,5,150,TRUE
10008,470,390,5,150,TRUE
10009,610,340,5,150,TRUE
10010,760,410,5,150,TRUE
10011,890,360,5,150,TRUE
10012,140,520,5,150,TRUE
10013,290,560,5,150,TRUE
10014,430,510,5,150,TRUE
10015,590,550,5,150,TRUE
10016,740,520,5,150,TRUE
10017,880,560,5,150,TRUE
10018,200,710,5,150,TRUE
10019,340,760,5,150,TRUE
10020,480,700,5,150,TRUE
10021,620,760,5,150,TRUE
10022,770,710,5,150,TRUE
10023,900,750,5,150,TRUE
10024,260,880,5,150,TRUE
10025,410,840,5,150,TRUE
10026,560,900,5,150,TRUE
10027,710,860,5,150,TRUE
10028,850,900,5,150,TRUE
10029,150,250,5,150,TRUE
10030,300,200,5,150,TRUE
10031,450,260,5,150,TRUE
10032,600,230,5,150,TRUE
10033,780,290,5,150,TRUE
10034,220,420,5,150,TRUE
10035,360,470,5,150,TRUE
10036,520,430,5,150,TRUE
10037,670,480,5,150,TRUE
10038,820,450,5,150,TRUE
10039,180,620,5,150,TRUE
10040,330,660,5,150,TRUE
10041,490,630,5,150,TRUE
10042,640,690,5,150,TRUE
10043,790,650,5,150,TRUE
10044,230,820,5,150,TRUE
10045,380,880,5,150,TRUE
10046,540,840,5,150,TRUE
10047,690,900,5,150,TRUE
10048,830,860,5,150,TRUE
10049,950,500,5,150,TRUE
