round,energyConsumed
1,0.7531421286485056
2,0.7531421286475961
3,0.7531421286480509
4,0.7531421286494151
5,0.7531421286480509
6,0.7531421286353179
7,0.7531421286512341
8,0.7531421286475961
9,0.7531421286448676
10,0.7531421286544173
11,0.7531421286462319
12,0.7531421286007571
13,0.7531421286485056
14,0.7531421286439581
15,0.7531421286516888
16,0.7531421286503246
17,0.747210170631206
18,0.7472101706543981
19,0.7472101706471221
20,0.7688883646451359
21,0.7688883646505928
22,0.7688883646487739
23,0.7688883646492286
24,0.7688883646487739
25,0.7736439666500701
26,0.7738415556486871
27,0.7738415556459586
28,0.7773713236365438
29,0.7773713236492767
30,0.7773713236510957
31,0.7773713236474578
32,0.777371323647003
33,0.7775707506498293
34,0.7753669966000416
35,0.7710252866495466
36,0.7710252866490919
37,0.7710252866513656
38,0.7710252866427254
39,0.7710252866359042
40,0.7710252866518204
41,0.7695997586488375
42,0.7710252866454539
43,0.7710252866490919
44,0.7710252866459086
45,0.7555824566516094
46,0.7555824566497904
47,0.7710252866513656
48,0.7555824566429692
49,0.7541569286499907
50,0.771591623650238
51,0.7561487936350204
52,0.7561487936527556
53,0.7717406956453488
54,0.7562978656496853
55,0.756297865648321
56,0.7703151676005291
57,0.7719093976502336
58,0.7900040616495971
59,0.7900040616482329
60,0.7900040616450497
61,0.771137569651728
62,0.7892322336374491
63,0.7879725796474304
64,0.7896006746491366
65,0.7896006746482271
66,0.7706463966487718
67,0.770646396650136
68,0.7652891886491489
69,0.7486200526473112
70,0.7667147166471295
71,0.7745300766496257
72,0.766714716651677
73,0.7667147166325776
74,0.7886584586494791
75,0.6751339642205494
76,0.6114767072108407
77,0.6295713712192992
78,0.6295713711651842
79,0.629571371214297
80,0.6295713712156612
81,0.628145843213133
82,0.629571371212478
83,0.6109126592182292
84,0.5962899322039448
85,0.6143845962119485
86,0.6143845962174055
87,0.6111188862091694
88,0.6145937392188898
89,0.6131682112127237
90,0.6113280292170202
91,0.5966496092150919
92,0.6147442732158197
93,0.6114785632162238
94,0.6147442732112722
95,0.6147442732021773
96,0.6133187452192033
97,0.6114785632112216
98,0.5966496092155467
