id,x,y,residualEnergy,commRange,alive
30000,129,100,5,150,TRUE
30001,250,160,5,150,TRUE
30002,380,130,5,150,TRUE
30003,510,190,5,150,TRUE
30004,640,150,5,150,TRUE
30005,780,210,5,150,TRUE
30006,853,170,5,150,TRUE
30007,160,290,5,150,TRUE
30008,290,330,5,150,TRUE
30009,420,300,5,150,TRUE
30010,550,350,5,150,TRUE
30011,690,320,5,150,TRUE
30012,820,370,5,150,TRUE
30013,950,340,5,150,TRUE
30014,140,460,5,150,TRUE
30015,270,510,5,150,TRUE
30016,410,480,5,150,TRUE
30017,550,530,5,150,TRUE
30018,690,500,5,150,TRUE
30019,830,540,5,150,TRUE
30020,950,510,5,150,TRUE
30021,180,650,5,150,TRUE
30022,310,690,5,150,TRUE
30023,450,660,5,150,TRUE
30024,590,710,5,150,TRUE
30025,730,680,5,150,TRUE
30026,870,720,5,150,TRUE
30027,143,964,5,150,TRUE
30028,360,860,5,150,TRUE
30029,510,830,5,150,TRUE
30030,650,880,5,150,TRUE
30031,800,850,5,150,TRUE
30032,940,890,5,150,TRUE
30033,200,240,5,150,TRUE
30034,340,210,5,150,TRUE
30035,480,260,5,150,TRUE
30036,620,230,5,150,TRUE
30037,760,280,5,150,TRUE
30038,880,250,5,150,TRUE
30039,230,410,5,150,TRUE
30040,370,440,5,150,TRUE
30041,510,420,5,150,TRUE
30042,650,400,5,150,TRUE
30043,790,430,5,150,TRUE
30044,920,470,5,150,TRUE
30045,260,600,5,150,TRUE
30046,400,630,5,150,TRUE
30047,540,610,5,150,TRUE
30048,680,650,5,150,TRUE
30049,830,620,5,150,TRUE
30050,960,610,5,150,TRUE
30051,300,780,5,150,TRUE
30052,440,820,5,150,TRUE
30053,580,790,5,150,TRUE
30054,720,830,5,150,TRUE
30055,860,800,5,150,TRUE
30056,500,950,5,150,TRUE
30057,650,950,5,150,TRUE
30058,802,950,5,150,TRUE
30059,956,923,5,150,TRUE
30060,100,499,5,150,TRUE
30061,200,512,5,150,TRUE
30062,300,507,5,150,TRUE
30063,400,500,5,150,TRUE
30064,500,534,5,150,TRUE
30065,600,546,5,150,TRUE
30066,700,500,5,150,TRUE
30067,800,501,5,150,TRUE
30068,900,500,5,150,TRUE
30069,243,100,5,150,TRUE
30070,577,200,5,150,TRUE
30071,500,300,5,150,TRUE
30072,561,400,5,150,TRUE
30073,500,600,5,150,TRUE
30074,599,700,5,150,TRUE
30075,500,800,5,150,TRUE
30076,500,900,5,150,TRUE
30077,750,750,5,150,TRUE
30078,350,750,5,150,TRUE
30079,750,350,5,150,TRUE
